Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
" Dava's Everquest II - Pinball Tribute (Original 2023)",Original,2023,"Fantasy, Roleplaying",-,-,-,SS,VPX,"Davadruix, JPSalas",1.1.1,2023-11-20
"1-2-3 (Talleres del Llobregat (Automaticos) 1973)",Talleres del Llobregat (Automaticos),1973,"TV Show, Game Show",1,5247,-,EM,VPX,"JPSalas",4.0.0,2022-09-01
"1024 Bytes (Original 2006)",Original,2006,"Technology",1,-,-,SS,FP,"NorthernPinballTeam",1.0,2023-09-08
"2 in 1 (Bally 1964)",Bally,1964,"Cards",2,2698,-,EM,FP,"Margoni",1.0,2023-09-09
"2 in 1 (Bally 1964)",Bally,1964,"Cards",2,2698,-,EM,VPX,"Loserman76, -=Kees=-",1.0,2016-08-15
"2 in 1 (Bally 1964)",Bally,1964,"Cards",2,2698,-,EM,VPX,"-=Kees=-",1.0,2023-06-15
"2001 (Gottlieb 1971)",Gottlieb,1971,"Fantasy",1,2697,-,EM,VPX,"Wrd1972, Loserman76, Nestorgian, GNance, Leeoneil, Thalamus, BorgDog, Apophis, HauntFreaks, JPSalas",0.99a,2023-04-26
"2001 (Gottlieb 1971)",Gottlieb,1971,"Fantasy",1,2697,-,EM,FP,"Popotte",2.0,2023-09-08
"2001 (Gottlieb 1971)",Gottlieb,1971,"Fantasy",1,2697,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, HauntFreaks, JPSalas",1.0a,2023-06-15
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"DGrimmReaper, Bigus1, 32assassin, Freneticamnesic",1.0,2023-06-11
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,FP,"NitroNimbus, rom, SLAMT1LT",2.0,2023-09-09
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"Morttis, Arconovum, Bigus1, 32assassin, Freneticamnesic",1.0-2.6,2023-06-13
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"Bigus1, 32assassin, Freneticamnesic",2.0,2023-11-20
"24 (Stern 2009)",Stern,2009,"Licensed Theme, TV Show, Crime",4,5419,-,SS,VPX,"32assassin, Freneticamnesic",2.0.1,2019-04-07
"250 cc (Inder 1992)",Inder,1992,"Sports, Motorcycle Racing",4,4089,-,SS,VPX,"Ext2k, JPSalas, TastyWasps",1.0.0,2023-11-29
"250 cc (Inder 1992)",Inder,1992,"Sports, Motorcycle Racing",4,4089,-,SS,VPX,"JPSalas",4.0.0,2022-09-01
"3-In-Line (Bally 1963)",Bally,1963,"Majorettes",4,2549,-,EM,VPX,"Alois",1.2,2021-01-28
"300 (Gottlieb 1975)",Gottlieb,1975,"Sports, Bowling",4,2539,-,EM,VPX,"Scampa123, Loserman76, Rawd, Pritch33, Leojreimroc, Apophis, HauntFreaks",1.1,2021-09-17
"300 (Gottlieb 1975)",Gottlieb,1975,"Sports, Bowling",4,2539,-,EM,VPX,"Loserman76, Conram29, Francisco666, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-08
"300 (Maresa 1975)",Maresa,1975,"Sports, Bowling",1,4633,-,EM,FP,"NitroNimbus",2.0,2023-09-09
"300 Prepare for Glory (Original 2008)",Original,2008,"History, Movie",1,-,-,-,FP,"Brad Bambara",1.0,2023-09-09
"300 Prepare for Glory (Original 2008)",Original,2008,"History, Movie",1,-,-,-,FP,"Pinner, Brad Bambara",-,2023-09-10
"301 Bullseye (Grand Products  1986)",Grand Products ,1986,"Sports, Darts",-,-,-,SS,VPX,"JPSalas",1.0.0,2022-12-29
"4 Aces (Williams 1970)",Williams,1970,"Cards, Gambling",2,928,-,EM,VPX,"JPSalas",1.0.2,2023-08-27
"4 Queens (Bally 1970)",Bally,1970,"Cards, Happiness",1,936,-,EM,FP,"Margoni",1.0,2023-09-10
"4 Queens (Bally 1970)",Bally,1970,"Cards, Happiness",1,936,-,EM,VPX,"Loserman76, -=Kees=-",2.0a,2021-03-26
"4 Queens (Bally 1970)",Bally,1970,"Cards, Happiness",1,936,-,EM,VPX,"Singinfool64, Loserman76, -=Kees=-",1.1,2020-07-09
"4 Queens (Bally 1970)",Bally,1970,"Cards, Happiness",1,936,-,EM,VPX,"-=Kees=-",1.01,2023-06-15
"4 Roses (Williams 1962)",Williams,1962,"Pageantry",1,938,-,EM,VPX,"Foxyt, Balater",1.05,2022-02-12
"4 Roses (Williams 1962)",Williams,1962,"Pageantry",1,938,-,EM,VPX,"Balater",1.04,2023-06-15
"4 Roses (Williams 1962)",Williams,1962,"Pageantry",1,938,-,EM,FP,"Margoni",1.0,2023-09-11
"4 Square (Gottlieb 1971)",Gottlieb,1971,"Dancing, Happiness, Music, Psychedelic",1,940,-,EM,FP,"Margoni",2.0,2023-09-10
"4 Square (Gottlieb 1971)",Gottlieb,1971,"Dancing, Happiness, Music, Psychedelic",1,940,-,EM,VPX,"Teisen, Loserman76, Wildman, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck",1.0,2023-07-21
"4 Square (Gottlieb 1971)",Gottlieb,1971,"Dancing, Happiness, Music, Psychedelic",1,940,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, HauntFreaks, JPSalas",1.0.0f,2021-12-08
"4X4 (Atari 1983)",Atari,1983,"Cars",4,3111,-,SS,VPX,"TheGhost787",1.0,2017-01-13
"50_50 (Bally 1965)",Bally,1965,"Fun Park",2,842,-,EM,FP,"Leon Spalding",1.a,2023-09-11
"8 Ball (Williams 1966)",Williams,1966,"Billiards",2,764,-,EM,VPX,"Loserman76, GNance, Wrd1972",1.0,2019-11-03
"8 Ball (Williams 1966)",Williams,1966,"Billiards",2,764,-,EM,FP,"Margoni",1.0,2023-09-11
"8 Ball (Williams 1952)",Williams,1952,"Sports, Billiards",-,-,-,EM,FP,"Popotte",1.01,2023-11-27
"8 Ball (Williams 1952)",Williams,1952,"Sports, Billiards",-,-,-,EM,FP,"Popotte",1.0,2023-10-01
"A Christmas Carol Pinball (Original 2020)",Original,2020,"Licensed Theme, Movie, Christmas",4,-,-,SS,VPX,"Stevegooner1234, Xenonph, Wildman, Lizard",06142023,2023-06-15
"A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022)",Original,2022,"Toy Franchise, Kids",-,-,-,SS,VPX,"Xenonph, Lizard, Slydog43, Thalamus, Stefanaustria (STAT), GTXJoe, Allknowing2012, JPSalas",2.1,2023-06-12
"A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022)",Original,2022,"Toy Franchise, Kids",-,-,-,SS,VPX,"Xenonph, Lizard, Slydog43, Thalamus, Stefanaustria (STAT), GTXJoe, Allknowing2012, JPSalas",2.1-redux,2023-06-12
"A Samurai’s Vengeance (Zen Studios 2023)",Zen Studios,2023,"World Culture",-,-,-,-,FX,"Zen Studios",-,2023-07-18
"A-Go-Go (Williams 1966)",Williams,1966,"Happiness, Dancing",4,27,-,EM,VPX,"PinPlayer",1.2,2020-02-13
"ABBA (Original 2020)",Original,2020,"Music",-,-,-,SS,VPX,"Grayghost27053, Stefanaustria (STAT), Slydog43, JPSalas",2.0,2020-05-18
"ABBA (Original 2020)",Original,2020,"Music",-,-,-,SS,VPX,"Djchiccomix",1.0,2020-04-24
"AC_DC (Original 2012)",Original,2012,"Licensed Theme, Music",-,-,-,SS,VPX,"Goldchicco, JPSalas, Grizz, Destruk, Doogie, Arngrim",1.0,2023-07-06
"AC_DC Back in Black - Limited Edition (Stern 2012)",Stern,2012,"Licensed Theme, Music",-,5777,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17
"AC_DC LUCI - Vault Edition (Stern 2018)",Stern,2018,"Licensed Theme, Music",-,6502,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17
"AC_DC LUCI Premium (Stern 2013)",Stern,2013,"Licensed Theme, Music",4,6060,-,SS,VPX,"VPin Workshop (VPW), Fluffhead35, nFozzy, Tomate, Retro27, Schlabber34, Bietekwiet, PinstratsDan, BountyBob, DJRobX, Dark, Tom Tower, Knorr, Rysr, Peter J, Javier, Sixtoe, Apophis, Ninuzzu, HauntFreaks",1.1,2023-01-30
"AC_DC LUCI Premium (Stern 2013)",Stern,2013,"Licensed Theme, Music",4,6060,-,SS,VPX,"Balutito, Ninuzzu",1.2,2022-12-02
"AC_DC LUCI Premium (Stern 2013)",Stern,2013,"Licensed Theme, Music",4,6060,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2019-03-10
"AC_DC Let There Be Rock - Limited Edition (Stern 2012)",Stern,2012,"Licensed Theme, Music",-,5776,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17
"AC_DC PWR Up Edition (Original 2022)",Original,2022,"Licensed Theme, Music",-,-,-,SS,VPX,"Djules, Britman, Movieguru, Mark G, Freezy, Ninuzzu",1.0.0,2023-08-08
"AC_DC PWR Up Edition (Original 2022)",Original,2022,"Licensed Theme, Music",-,-,-,SS,VPX,"Britman, Movieguru, Mark G, Freezy, Ninuzzu",1.01,2023-08-07
"AC_DC Premium (Stern 2012)",Stern,2012,"Licensed Theme, Music",-,5775,-,SS,VPX,"Drhotwing, Ninuzzu",1.0,2023-06-17
"AC_DC Premium (Stern 2012)",Stern,2012,"Licensed Theme, Music",-,5775,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.5,2023-06-17
"AC_DC Pro (Stern 2012)",Stern,2012,"Licensed Theme, Music",-,5767,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,2023-06-17
"AC_DC Pro (Stern 2012)",Stern,2012,"Licensed Theme, Music",-,5767,-,SS,FP,"Zedonius, Francisco666, rom",1.21,2023-09-11
"AC_DC Pro - Vault Edition (Stern 2017)",Stern,2017,"Licensed Theme, Music",-,6439,-,SS,VPX,"Ninuzzu, Javier, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Zedonius, rom",1.0,2023-06-17
"Aaron Spelling (Data East 1992)",Data East,1992,"TV Show, Celebrities",4,4339,-,SS,VPX,"Balater",1.02,2021-03-12
"Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,"Fantasy, Wizards, Magic",1,2,-,EM,FP,"NitroNimbus, Popotte, SLAMT1LT",2.0,2023-09-11
"Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,"Fantasy, Wizards, Magic",1,2,-,EM,VPX,"Rajo Joey, Leon Alexanian, Rawd, Leojreimroc, Sixtoe, Batch",1.1.0,2021-12-06
"Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,"Fantasy, Wizards, Magic",1,2,-,EM,FP,"Popotte, SLAMT1LT",2.0,2023-09-11
"Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,"Fantasy, Wizards, Magic",1,2,-,EM,VPX,"Batch, Pinuck, BorgDog, HauntFreaks",1.1,2018-01-14
"Abra Ca Dabra (Gottlieb 1975)",Gottlieb,1975,"Fantasy, Wizards, Magic",1,2,-,EM,FP,"Popotte, SLAMT1LT",1.01,2023-09-11
"Accept (Original 2019)",Original,2019,"Music, Heavy Metal",-,-,-,SS,VPX,"Batch, Thalamus, Kalavera, Xenonph, Flupper, Kiwi, RetroBash, Zanny, JPSalas",1.2,2021-12-18
"Ace High (Gottlieb 1957)",Gottlieb,1957,"Cards, Gambling",1,7,-,EM,FP,"Popotte, Carlos Guizzo, Luiz Culik",1.02,2023-11-29
"Ace Ventura - Pet Detective (Original 2019)",Original,2019,"Movie, Comedy",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-08-25
"Ace of Speed (Original 2019)",Original,2019,"Auto Racing",4,-,-,SS,-,"Takut, Franck Hollinger (Mussinger)",1.1,2023-01-15
"Ace of Speed (Original 2019)",Original,2019,"Auto Racing",4,-,-,SS,VPX,"Franck Hollinger (Mussinger), Herweh, David Vicente, David Maldonado, JPJ, ScottyWic, Rik Laubach, Vero, Vogliadicane, Nailbuster",1.0.1,2021-12-06
"Aces & Kings (Williams 1970)",Williams,1970,"Cards, Gambling",4,11,-,EM,VPX,"Mustang1961, Albert, -=Kees=-",1.11,2022-12-21
"Aces & Kings (Williams 1970)",Williams,1970,"Cards, Gambling",4,11,-,EM,VPX,"Albert, -=Kees=-",1.0,2020-03-09
"Aces & Kings (Williams 1970)",Williams,1970,"Cards, Gambling",4,11,-,EM,VPX,"-=Kees=-",1.11,2019-07-20
"Aces High (Bally 1965)",Bally,1965,"Cards, Gambling, Poker, Riverboat",4,9,-,EM,VPX,"Mustang1961, Loserman76, -=Kees=-",2.1,2022-11-29
"Aces High (Bally 1965)",Bally,1965,"Cards, Gambling, Poker, Riverboat",4,9,-,EM,VPX,"Dakarx, -=Kees=-",1.10,2020-05-25
"Aces High (Bally 1965)",Bally,1965,"Cards, Gambling, Poker, Riverboat",4,9,-,EM,VPX,"Loserman76, -=Kees=-",1.0,2022-05-23
"Aces High (Bally 1965)",Bally,1965,"Cards, Gambling, Poker, Riverboat",4,9,-,EM,VPX,"-=Kees=-",1.00,2022-05-23
"Action (Exhibit Supply Company 1943)",Exhibit Supply Company,1943,"Flipperless",1,3839,-,EM,FP,"Francisco Pozo",1.1,2023-08-17
"Adventure Land (Zen Studios 2017)",Zen Studios,2017,"Fantasy",4,-,-,-,FX,"Zen Studios",-,2022-04-02
"Adventure Land (Zen Studios 2017)",Zen Studios,2017,"Fantasy",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
"Adventure Time - Rainy Day Daydream (Original 2022)",Original,2022,"Animation, Kids",-,-,-,SS,VPX,"User42, Rascal, Kevinleedrum, Mfuegemann, Bigus1",1.0,2022-02-18
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,"Cartoon, Kids",4,23,-,SS,VPX,"Cyberpez, Scottacus, TastyWasps, Passion4Pins, Arvid, Sliderpoint, Wrd1972, Rothbauerw, Dark, FBX, TheMotherBrain, DJRobX, RustyCardores",1.0.6,2024-01-09
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,"Cartoon, Kids",4,23,-,SS,VPX,"Bigus1, Cyberpez",1.0,2022-03-07
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,"Cartoon, Kids",4,23,-,SS,VPX,"Arvid, Sixtoe, Cyberpez, Wrd1972, Rothbauerw, Dark, Zany, Fbx, nFozzy, DJRobX, RustyCardores, SliderPoint",1.1.0,2023-12-03
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,"Cartoon, Kids",4,23,-,SS,VPX,"Cyberpez, Wrd1972, Rothbauerw, Dark, Zany, Fbx, nFozzy, DJRobX, RustyCardores, SliderPoint",1.0,2019-09-20
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,"Cartoon, Kids",4,23,-,SS,VPX,"Requiem, Zedonius",1.0,2017-06-08
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993)",Data East,1993,"Cartoon, Kids",4,23,-,SS,VPX,"Zedonius, RustyCardores",1.0,2000-01-01
"Aerobatics (Zaccaria 1977)",Zaccaria,1977,"Aviation",1,24,-,EM,VPX,"Alois",1.0,2021-01-11
"Aerosmith (Original 2019)",Original,2019,"Music",-,-,-,SS,VPX,"Franck Hollinger (Mussinger), DarthMarino, Wed21, Siggi",1.1,2023-04-10
"Aerosmith (Original 2023)",Original,2023,"Music",-,6370,-,SS,VPX,"Allknowing2012, Drik333, EBisLit, Mike Da Spike",1.02,2023-03-22
"Agents 777 (Game Plan 1984)",Game Plan,1984,"Cartoon, Crime",4,26,-,SS,VPX,"HSM, Xenonph",1.0,2018-04-27
"Agents 777 (Game Plan 1984)",Game Plan,1984,"Cartoon, Crime",4,26,-,SS,VPX,"Hmueck",1.0,2015-12-24
"Air Aces (Bally 1975)",Bally,1975,"Adventure, Aviation, Combat",4,28,-,EM,VPX,"Bord, Scottacus",2.0,2019-04-30
"Air Aces (Bally 1975)",Bally,1975,"Adventure, Aviation, Combat",4,28,-,EM,FP,"Popotte",1.00,2023-09-11
"Airborne (Capcom 1996)",Capcom,1996,"Aviation",4,3783,-,SS,VPX,"Versins77, Robbo43, DCrosby, Bodydump, TAB, Destruk",1.0,2023-06-20
"Airborne (Capcom 1996)",Capcom,1996,"Aviation",4,3783,-,SS,VPX,"Morttis, Arconovum, Robbo43, DCrosby, Bodydump, TAB, Destruk",1.0-2.0,2023-06-12
"Airborne (Capcom 1996)",Capcom,1996,"Aviation",4,3783,-,SS,VPX,"Robbo43, DCrosby, Bodydump, TAB, Destruk",1.0,2020-05-08
"Airborne Avenger (Atari 1977)",Atari,1977,"Adventure, Combat, Aviation",4,33,-,SS,VPX,"Balater",1.00,2022-12-26
"Airborne Avenger (Atari 1977)",Atari,1977,"Adventure, Combat, Aviation",4,33,-,SS,VPX,"DarthMarino, Destruk, John Shepherd, Dboyrecords, BlackPredator72, 32assassin",1.4,2020-08-31
"Airport (Gottlieb 1969)",Gottlieb,1969,"Travel",2,35,-,EM,FP,"Popotte",2.0,2023-09-11
"Airport (Gottlieb 1969)",Gottlieb,1969,"Travel",2,35,-,EM,VPX,"Teisen, Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim",1.0,2023-09-10
"Airport (Gottlieb 1969)",Gottlieb,1969,"Travel",2,35,-,EM,VPX,"Mustang1961, Loserman76",1.0b,2022-11-28
"Airport (Gottlieb 1969)",Gottlieb,1969,"Travel",2,35,-,EM,VPX,"Loserman76",1.0.0f,2021-12-08
"Airwolf (Original 2020)",Original,2020,"TV Show, Aviation",-,-,-,SS,VPX,"Chucky87, Ivantba, JPJ, JLouLou, JPSalas",1.1,2020-04-03
"Airwolf (Original 2020)",Original,2020,"TV Show, Aviation",-,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2022-05-23
"Akira (Original 2021)",Original,2021,"Anime, Movie",-,-,-,SS,-,"7he S4ge, 32assassin, Atros",1.0,2021-11-30
"Al Capone (LTD do Brasil 1984)",LTD do Brasil,1984,"American History, Cards, Gambling, Crime, Mobsters",4,5176,-,SS,VPX,"Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston",1.0,2019-12-29
"Al's Garage Band Goes On a World Tour (Alvin G. and Co 1992)",Alvin G. and Co,1992,"Music, Singing",4,3513,-,SS,VPX,"Antisect, 32assassin, JPSalas, Goldchicco, nFozzy, oooPlayer1ooo",2.0,2021-12-07
"Al's Garage Band Goes On a World Tour (Alvin G. and Co 1992)",Alvin G. and Co,1992,"Music, Singing",4,3513,-,SS,VPX,"Morttis, Arconovum, Arrestis, Sneakily1, 32assassin, Goldchicco, oooPlayer1ooo",2.0-2.6,2023-06-12
"Al's Garage Band Goes On a World Tour (Alvin G. and Co 1992)",Alvin G. and Co,1992,"Music, Singing",4,3513,-,SS,VPX,"Goldchicco, oooPlayer1ooo, Arrestis, Sneakily1, Arngrim, Batch, 32assassin, Movieguru",1.2,2020-09-28
"Aladdin's Castle (Bally 1976)",Bally,1976,"Fantasy, Mythology",2,40,-,EM,VPX,"Dozer, Mjr",1.01,2018-05-16
"Aladdin's Castle (Bally 1976)",Bally,1976,"Fantasy, Mythology",2,40,-,EM,FP,"SLAMT1LT, Greywolf",1.01,2023-09-11
"Aladdin's Castle (Bally 1976)",Bally,1976,"Fantasy, Mythology",2,40,-,EM,FP,"NitroNimbus, SLAMT1LT, Greywolf",2.0,2023-09-11
"Alaska (Interflip 1978)",Interflip,1978,"American Places",-,3888,-,SS,VPX,"7he S4ge, JPSalas",1.1,2022-09-05
"Albator 78 (Original 2022)",Original,2022,"Anime, Kids",-,-,-,SS,VPX,"Cez60, Sylvidres, JPSalas",1.0.1,2022-04-03
"Albator The Movie (Original 2022)",Original,2022,"Anime, Kids",-,-,-,-,VPX,"Cez60, JPSalas",1.0.0,2022-04-02
"Alfred Hitchcock's Psycho (Original 2019)",Original,2019,"Horror, Movie",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-08-11
"Algar (Williams 1980)",Williams,1980,"Fantasy",4,42,-,SS,VPX,"Michel757, Thalamus, Kalavera",1.0,2021-11-24
"Algar (Williams 1980)",Williams,1980,"Fantasy",4,42,-,SS,VPX,"Kalavera, Thalamus, Practisedummy, UncleWilly, LuvThatApex, Kristian, Flupper, Dark, Fren, Stefanaustria (STAT), GTXJoe, Batch, HauntFreaks, Bord",1.3.3,2020-10-17
"Ali (Stern 1980)",Stern,1980,"Sports, Boxing, Licensed Theme",4,43,-,SS,FP,"NitroNimbus, Cypher80b, DStruct",2.0,2023-09-11
"Ali (Stern 1980)",Stern,1980,"Sports, Boxing, Licensed Theme",4,43,-,SS,VPX,"JPSalas, HauntFreaks, Arngrim",4.0.0,2022-09-03
"Ali (Stern 1980)",Stern,1980,"Sports, Boxing, Licensed Theme",4,43,-,SS,VPX,"Rajo Joey, Rawd, Rascal, Sixtoe, JPSalas",1.0.0,2023-01-05
"Alice In Chains Pinball (Original 2021)",Original,2021,"Music",-,-,-,SS,VPX,"Darthwhat, Destruk, Hawkeyez88, Goldchicco",1.0.0,2021-09-10
"Alice in Wonderland (Gottlieb 1948)",Gottlieb,1948,"Fictional Characters",1,47,-,EM,VPX,"JPSalas, Mister Transistor",1.0.1,2023-08-03
"Alien 2 (Original 2023)",Original,2023,"Movie, Science Fiction, Horror",-,-,-,SS,VPX,"Bombaj344, BurtMacklin, HauntFreaks, JPSalas, Rothbauerw, Borgdog, Ghostfreaks",1.0.0,2023-10-03
"Alien Covenant (Original 2023)",Original,2023,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Bombaj344, Ghostfreaks, BurtMacklin, BorgDog, HauntFreaks, JPSalas, Rothbauerw",1.1,2023-04-01
"Alien Isolation Pinball (Zen Studios 2016)",Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
"Alien Nostromo (Original 2022)",Original,2022,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,-,VPX,"Gh0stbust3r, Delta23, JPSalas",4.0,2022-03-07
"Alien Poker (Williams 1980)",Williams,1980,"Science Fiction, Outer Space, Cards, Gambling",4,48,-,SS,VPX,"JPSalas",4.0,2022-09-03
"Alien Poker (Williams 1980)",Williams,1980,"Science Fiction, Outer Space, Cards, Gambling",4,48,-,SS,VPX,"Bord, UnclePaulie, HauntFreaks",1.0.0,2021-10-29
"Alien Poker (Williams 1980)",Williams,1980,"Science Fiction, Outer Space, Cards, Gambling",4,48,-,SS,VPX,"Rajo Joey, JPSalas",1.0.0,2023-01-05
"Alien Poker (Williams 1980)",Williams,1980,"Science Fiction, Outer Space, Cards, Gambling",4,48,-,SS,FP,"Cold1",1.0,2023-09-11
"Alien Resurrection (Original 2022)",Original,2022,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Ivantba, TonyTheWrench",1.0,2022-08-22
"Alien Star (Gottlieb 1984)",Gottlieb,1984,"Outer Space, Fantasy",4,49,-,SS,VPX,"Versins77, BorgDog, VPW Team, HauntFreaks",1.0.0,2023-06-25
"Alien Star (Gottlieb 1984)",Gottlieb,1984,"Outer Space, Fantasy",4,49,-,SS,VPX,"Wildman, BorgDog, HauntFreaks",0.93,2021-12-07
"Alien Trilogy (Original 2019)",Original,2019,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Ivantba, Lodger",1.0,2019-02-12
"Alien Warrior (LTD do Brasil 1982)",LTD do Brasil,1982,"Aliens, Fantasy, Outer Space",-,5882,-,SS,VPX,"Wiesshund, Siggi, Chucky87, Gaston, CarlosGuizzo",4.0,2023-09-21
"Alien vs Predator Pinball (Zen Studios 2016)",Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
"Aliens (Original 2020)",Original,2020,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,SS,VPX,"Solters, Bombaj344, Delta23, Rascal",1.0,2022-07-19
"Aliens (Original 2020)",Original,2020,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,SS,VPX,"BurtMacklin, Bombaj344, Delta23, JPSalas",1.0,2022-06-26
"Aliens (Original 2020)",Original,2020,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,SS,VPX,"Bombaj344, Delta23",1.0,2022-02-07
"Aliens (Original 2020)",Original,2020,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,SS,VPX,"Delta23, JPSalas, Siggi",2.0,2021-09-19
"Aliens Legacy (Original 2005)",Original,2005,"Movie, Licensed Theme, Science Fiction",-,-,-,-,FP,"TerryRed, Steve Paradis (Polygame), SLAMT1LT, Paolo (Wild), David Eisner (Pinballwzd)",1.1,2023-12-09
"Aliens Legacy (Original 2005)",Original,2005,"Movie, Licensed Theme, Science Fiction",-,-,-,-,FP,"TerryRed, SLAMT1LT, David Eisner (Pinballwzd)",1.12,2023-08-09
"Aliens Legacy (Original 2005)",Original,2005,"Movie, Licensed Theme, Science Fiction",-,-,-,-,FP,"SLAMT1LT, Paolo (Wild), David Eisner (Pinballwzd)",1.03,2023-08-04
"Aliens Legacy (Original 2005)",Original,2005,"Movie, Licensed Theme, Science Fiction",-,-,-,-,FP,"SLAMT1LT, David Eisner (Pinballwzd), Destruk, Steve Paradis (Polygame), Tom Niwinski",1.07,2023-08-11
"Aliens Legacy (Original 2005)",Original,2005,"Movie, Licensed Theme, Science Fiction",-,-,-,-,FP,"David Eisner (Pinballwzd), Destruk, Steve Paradis (Polygame), Tom Niwinski",1.0,2023-08-09
"Aliens Pinball (Zen Studios 2016)",Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
"Aliens from Outer Space (Original 2021)",Original,2021,"Aliens, Science Fiction",-,-,-,-,VPX,"Rosve",1.1.3,2023-09-22
"Alive (Brunswick 1978)",Brunswick,1978,"Music",4,50,-,SS,VPX,"HSM, Roccodimarco",1.0,2020-01-10
"Alive (Brunswick 1978)",Brunswick,1978,"Music",4,50,-,SS,VPX,"Roccodimarco, Updon719, Wrenchien, Dboyrecords, Stefanaustria (STAT), Itchigo, Scottacus, BorgDog, HauntFreaks",0.0.3,2018-06-01
"All-Star Basketball (Gottlieb 1952)",Gottlieb,1952,"Sports, Basketball",1,54,-,EM,FP,"Martin Brunker, Brent Carter",1.0,2023-07-22
"Alle Neune (NSM 1969)",NSM,1969,"Sports, Bowling, Flipperless",1,6037,-,EM,VPX,"Stefanaustria (STAT), Hmueck, Bord",1.1,2022-05-23
"Alley Cats (Williams 1985)",Williams,1985,"Arcade, Bowling",-,-,-,SS,VPX,"Rascal",1.1.0,2022-10-27
"Alley Cats (Williams 1985)",Williams,1985,"Arcade, Bowling",-,-,-,SS,VPX,"Rascal",1.1,2019-09-16
"Aloha (Gottlieb 1961)",Gottlieb,1961,"American Places, Hawaii",2,62,-,EM,VPX,"MauiPunter, Popotte, Jino372",1.1.0,2023-09-16
