Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
"O Gaucho (LTD do Brasil 1975)",LTD do Brasil,1975,"American West",-,-,-,EM,FP,"Rodrigo Ataguile (RoAtaguile), Exegeta",1.0,2024-01-09
"O Gaucho (LTD do Brasil 1975)",LTD do Brasil,1975,"American West",-,-,-,EM,VPX,"JPSalas, Halen, Exegeta, Rodrigo Ataguile (RoAtaguile)",1.0.0,2023-05-31
"OXO (Williams 1973)",Williams,1973,"Board Games, Tic-Tac-Toe",4,1733,-,EM,VPX,"Scottacus, Onevox, Whirlwind, Bord",2.28,2022-08-10
"OXO (Williams 1973)",Williams,1973,"Board Games, Tic-Tac-Toe",4,1733,-,EM,VPX,"Scottacus, Xenonph, Thalamus, Freneticamnesic, HauntFreaks, Bord", 1.0.0,2022-04-09
"Oasis Knebworth (Original 2023)",Original,2023,"Music, Celebrities",-,-,-,-,VPX,"Dr.Nobody, JPSalas, Balutito, Joe Picasso, Hawkeyez88, DigitalJedi084, Paladin, Springjack",1.0.0,2023-08-06
"Oba-Oba (Taito do Brasil 1978)",Taito do Brasil,1978,"Music, Dancing",4,4572,-,SS,VPX,"MauiPunter, Carlos Guizzo, Tio Italo, Wildman, JPSalas",4.1.0,2023-05-18
"Oba-Oba (Taito do Brasil 1978)",Taito do Brasil,1978,"Music, Dancing",4,4572,-,SS,VPX,"JPSalas, Carlos Guizzo, Tio Italo, Pmax65, Rothbauerw",4.0.0,2022-08-29
"Oblivion (Original 2023)",Original,2023,"Science Fiction",-,-,-,-,FP,"Zobou",2.0,2023-12-28
"Octopus (Nintendo 1981)",Nintendo,1981,"Flipperless",-,-,-,SS,VPX,"Stefanaustria (STAT), Fisch",1.0a,2020-03-27
"OddZilla (Original 2023)",Original,2023,"Dinosaurs",-,-,-,-,FP,"Anthias",1.0,2023-11-06
"Odin Deluxe (Sonic 1985)",Sonic,1985,"Norse Mythology",4,3448,-,SS,VPX,"Nestorgian, Dboyrecords, Arngrim, JPSalas",1.3.1,2020-10-28
"Odin Deluxe (Sonic 1985)",Sonic,1985,"Norse Mythology",4,3448,-,SS,VPX,"Nestorgian",1.1,2020-07-30
"Odisea Paris-Dakar (Peyper 1987)",Peyper,1987,"Car Rally, Motorcycle Racing",4,4879,-,SS,VPX,"Goldchicco, 32assassin, Mfuegemann, Movieguru, Arngrim, Batch",1.2,2020-12-28
"Ol' Ireland (Original 2018)",Original,2018,"World Places",-,-,-,SS,VPX,"Ronimhoff",1.1,2018-04-13
"Old Chicago (Bally 1976)",Bally,1976,"Historical, American Places",4,1704,-,EM,VPX,"Leeoneil, Loserman76, GNance, Popotte",1.2.0,2022-04-02
