Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
"Fog, The (Original 2020)",Original,2020,"Movie, Horror",2,-,-,EM,VPX,"HiRez00, Loserman76, Rascal, BorgDog, Apophis, JPSalas, Rothbauerw, nFozzy",2.5a,2022-01-25,"Fog, The"
"Hungry Dead, The (Original 2005)",Original,2005,Horror,-,-,-,-,FP,"GeorgeH, Ruckage, Protricity, NoppZ, Djpretzel, Pangier",1.4,2023-10-11,"Hungry Dead, The"
"Last Of Us, The (Original 2018)",Original,2018,"Horror, TV Show",-,-,-,SS,VPX,"Ivantba, JPSalas",1.1,2019-01-03,"Last Of Us, The"
"Purge, The (Original 2022)",Original,2022,"Horror, Adult",-,-,-,SS,VPX,"Pedro Peres, Team Tuga, Mario Joao Paulo, Balutito, Pritch33, Ayatollah of Rock, DigitalJedi084, Dom Wainright Chicken, JPSalas",1.0.0-1.2,2023-06-25,"Purge, The"
"Return of the Living Dead, The (Original 2020)",Original,2020,"Horror, Movie",-,-,-,SS,VPX,"Ivantba, Mfuegemann",0.9,2023-08-11,"Return of the Living Dead, The"
"Shining Pinball, The (Original 2022)",Original,2022,"Movie, Horror",-,-,-,SS,VPX,"Gman77, Wpilot, Jagandy82, Nagaidevil, 80sRkadeguy70",1.0.0,2023-11-10,"Shining Pinball, The"
"Texas Chainsaw Massacre, The (Original 2020)",Original,2020,"Movie, Horror",4,-,-,SS,VPX,"Ivantba, Goldchicco, Mfuegemann",1.0,2020-12-19,"Texas Chainsaw Massacre, The"
They Live (Original 2023),Original,2023,"Licensed Theme, Movie, Science Fiction, Horror, Aliens",-,-,-,SS,VPX,"Balutito, SpookyMoulder",1.0,2023-06-22,They Live
Willy's Wonderland (Original 2021),Original,2021,"Movie, Horror",4,-,-,EM,VPX,"Gman77, Goldchicco, Jagandy82, Nagaidevil, 80sRkadeguy70, Pritch33, Cliffy",1.0.0,2023-11-10,Willy's Wonderland
Wolf Man (Peyper 1987),Peyper,1987,"Mythology, Horror",4,4435,-,SS,VPX,"Goldchicco, Mfuegemann, 32assassin, Batch",2.0,2021-10-21,Wolf Man
