Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Airborne (Capcom 1996),Capcom,1996,Aviation,4,3783,-,SS,VPX,"Versins77, Robbo43, DCrosby, Bodydump, TAB, Destruk",1.0,2023-06-20,Airborne
Big Bang Bar (Capcom 1996),Capcom,1996,"Science Fiction, Aliens",4,4001,-,SS,VPX,"VPin Workshop (VPW), ClarkKent, Ninuzzu, UncleWilly",1.0.0,2023-03-18,Big Bang Bar
Breakshot (Capcom 1996),Capcom,1996,"Sports, Billiards",4,3784,-,SS,VPX,"Bigus1, Krobar74",3.1,2023-01-26,Breakshot
Flipper Football (Capcom 1996),Capcom,1996,"Sports, Soccer",6,3945,-,SS,VPX,"Bigus1, 32assassin, JPSalas",2.1,2023-07-22,Flipper Football
Kingpin (Capcom 1996),Capcom,1996,"Police, Mobsters, Crime",4,4000,-,SS,VPX,"Bigus1, ICPjuggla, Noitbe11, Kiwi",2.2,2023-11-20,Kingpin
Pinball Magic (Capcom 1995),Capcom,1995,"Show Business, Magic",4,3596,-,SS,VPX,"UncleWilly, Roth, DJRobX, Dark, Randr",1.9,2023-11-02,Pinball Magic
